Wall time,Step,Value
1745683823.5447862,1149,0.8646748065948486
1745683835.970581,1155,0.843988835811615
1745683838.0376709,1156,0.9327308535575867
1745683840.093172,1157,0.9018502831459045
1745683846.4263475,1160,0.863311767578125
1745683848.5284626,1161,0.8261809945106506
1745683850.611007,1162,0.8889728784561157
1745683888.9673429,1180,0.8583151698112488
1745683895.2735052,1183,0.8822137713432312
1745683899.4606614,1185,0.8176993727684021
1745683915.831599,1192,0.9148688912391663
1745683917.8808355,1193,0.9130997657775879
1745683926.080651,1197,0.9110840559005737
1745683930.2570066,1199,0.9721699357032776
1745683934.5191033,1201,0.8383339047431946
1745683945.0624466,1206,0.9104363918304443
1745683949.1780686,1208,0.9480764269828796
1745683953.4333117,1210,0.8033881783485413
1745683961.9425063,1214,0.9468359351158142
1745683983.5356212,1224,0.9459888339042664
1745684000.1504912,1232,0.8825057148933411
1745684002.196711,1233,0.889181911945343
1745684004.255001,1234,1.0059224367141724
1745684008.4804292,1236,0.8989665508270264
1745684014.732129,1239,0.974102258682251
1745684020.884853,1242,0.882935106754303
1745684025.813407,1244,0.799957275390625
1745684032.16234,1247,0.9377727508544922
1745684046.2896483,1253,0.9681599736213684
1745684050.5555797,1255,0.8714300990104675
1745684054.8253868,1257,0.9438844919204712
1745684056.9172735,1258,0.9193868637084961
1745684064.072688,1261,0.7485440969467163
1745684068.3729558,1263,0.8273007869720459
1745684074.6567593,1266,0.9136309027671814
1745684091.422689,1274,0.8868513703346252
1745684108.2633104,1281,1.0155929327011108
1745684120.6629114,1287,0.9285969138145447
1745684129.0511642,1291,0.8778257966041565
1745684131.1767755,1292,0.8976573944091797
1745684133.3768601,1293,0.8042181134223938
1745684135.4685338,1294,0.8598540425300598
1745684148.690515,1300,0.8212317228317261
1745684154.9857728,1303,0.942619800567627
1745684169.3248591,1310,0.8669176697731018
1745684174.0408318,1312,0.9513400197029114
1745684180.3066676,1315,0.863585889339447
1745684182.3921895,1316,0.8152042031288147
1745684188.7198768,1319,0.8795405030250549
1745684201.3530211,1325,0.8404970765113831
1745684205.5708003,1327,0.8876123428344727
1745684212.7888253,1330,0.844131350517273
1745684219.1254818,1333,0.9426909685134888
1745684221.8221922,1334,0.8653489947319031
1745684224.4214058,1335,0.8907269239425659
1745684226.469406,1336,0.8197447061538696
1745684228.550372,1337,0.9113355278968811
1745684241.028763,1343,0.8559371829032898
1745684266.6694937,1355,0.8792781829833984
1745684279.3989959,1361,0.9031388163566589
1745684289.76617,1366,0.8776465654373169
1745684298.0267177,1370,0.8300849199295044
1745684313.322818,1377,0.893300473690033
1745684317.480073,1379,0.8599435091018677
1745684327.771984,1384,0.8559522032737732
1745684329.9255173,1385,0.9056491851806641
1745684336.194131,1388,0.876732349395752
1745684338.2919726,1389,0.8875843286514282
1745684342.6743033,1391,0.9310259819030762
1745684344.7222672,1392,0.9454774260520935
1745684351.2796743,1395,0.800853967666626
1745684389.2575562,1412,0.8788833022117615
1745684391.3088953,1413,0.981078565120697
1745684393.418634,1414,0.9236973524093628
1745684404.1941795,1419,0.9193628430366516
1745684410.9314582,1422,0.840725302696228
1745684419.8917015,1426,0.8921822309494019
1745684422.0411234,1427,0.8644047379493713
1745684424.067234,1428,0.8189195394515991
1745684432.770396,1432,0.8455384373664856
1745684434.8966393,1433,0.8488175272941589
1745684442.0086782,1436,0.9020910859107971
1745684452.6963215,1440,0.8621528148651123
1745684456.832623,1442,0.9321625232696533
1745684484.1243124,1455,0.8870682120323181
1745684486.2553518,1456,0.8637688159942627
1745684506.0407357,1465,0.8212985992431641
1745684508.9501565,1466,0.9259835481643677
1745684532.1710289,1477,0.9113593697547913
1745684550.9989944,1485,0.8693361878395081
1745684553.2129135,1486,0.8791043162345886
1745684559.4656396,1489,0.8567426800727844
1745684563.6275406,1491,0.8294768333435059
1745684565.6748233,1492,0.8551785349845886
1745684583.645486,1500,0.8244807124137878
1745684585.7177556,1501,0.8748636841773987
1745684587.7666416,1502,0.9700287580490112
1745684596.2224011,1506,0.8382840752601624
1745684600.4160092,1508,0.9161733984947205
1745684604.6693199,1510,0.933019757270813
1745684621.3373094,1518,0.8980083465576172
1745684631.9615018,1523,0.7879117727279663
1745684634.2393441,1524,0.765943169593811
1745684642.4139297,1527,0.906713604927063
1745684657.3000717,1534,0.903794527053833
1745684683.8244631,1546,0.78777015209198
1745684694.2942762,1551,0.9336585402488708
1745684696.3794298,1552,0.901377260684967
1745684701.4498253,1554,0.7813166975975037
1745684704.0469303,1555,0.9323111176490784
1745684717.5610197,1561,0.890693187713623
1745684732.3699336,1568,0.8875619769096375
1745684734.8787465,1569,0.7979287505149841
1745684754.7016256,1578,0.7895890474319458
1745684763.2532396,1582,0.8863849639892578
1745684767.350126,1584,0.8775283098220825
1745684775.632392,1588,0.8632524013519287
1745684794.6152446,1597,0.8291682600975037
1745684798.8000326,1599,0.8606171011924744
1745684805.6042132,1602,0.8517534732818604
1745684809.9674735,1604,0.935390055179596
1745684812.0671542,1605,0.8015291094779968
1745684822.710481,1610,0.8987182974815369
1745684840.330518,1618,0.8294488191604614
1745684844.6312697,1620,0.9053556323051453
1745684859.4166358,1627,0.9251338243484497
1745684861.5309112,1628,0.9198673963546753
1745684869.9500988,1632,0.9126664400100708
1745684880.8917527,1637,0.8573423624038696
1745684887.1539097,1640,0.8865911364555359
1745684891.8614218,1642,0.8517178893089294
1745684898.6639652,1645,0.9692834615707397
1745684905.9105852,1648,0.9369899034500122
1745684915.265737,1652,0.8595048189163208
1745684931.953092,1660,0.860771119594574
1745684949.041904,1668,0.8772329688072205
1745684953.1394985,1670,0.8391039371490479
1745684957.3638103,1672,0.8565688729286194
1745684963.587344,1675,0.8758136034011841
1745684965.6733313,1676,0.856728732585907
1745684979.387594,1682,0.8255931735038757
1745684982.07559,1683,0.8321424126625061
1745684998.8775969,1691,0.8371316194534302
1745685006.066174,1694,0.7964783906936646
1745685008.1222417,1695,0.8463480472564697
1745685010.1687365,1696,0.85814368724823
1745685012.3302016,1697,0.8469136953353882
1745685016.4434829,1699,0.743989884853363
1745685022.8342018,1702,0.7963939905166626
1745685037.9513466,1709,0.9201132655143738
1745685040.0132403,1710,0.8503522276878357
1745685050.4554384,1715,0.7713621854782104
1745685054.5644372,1717,0.888343334197998
1745685057.0863829,1718,0.7844042778015137
1745685059.2063735,1719,0.8641999959945679
1745685078.9888768,1728,0.8844528198242188
1745685087.6502047,1732,0.7958482503890991
1745685092.9374003,1734,0.827656090259552
1745685094.995738,1735,0.8504207134246826
1745685099.8689263,1737,0.7838426232337952
1745685110.6076474,1742,0.8682829141616821
1745685112.7131834,1743,0.8398603200912476
1745685116.8778214,1745,0.8428648710250854
1745685118.913616,1746,0.8738383650779724
1745685121.7263515,1747,0.8477596044540405
1745685128.1617858,1750,0.8115930557250977
1745685132.2506688,1752,0.9302690029144287
1745685136.602627,1754,0.7953969836235046
1745685162.226637,1766,0.8234035968780518
1745685184.127266,1775,0.8210493326187134
1745685196.6717107,1781,0.8699957132339478
1745685198.7290125,1782,0.8612655401229858
1745685211.0684392,1788,0.8992133736610413
1745685213.2031746,1789,0.8263181447982788
1745685215.589009,1790,0.8353227972984314
1745685232.4731379,1798,0.9027581810951233
1745687463.6651232,1805,0.8546236753463745
1745687479.963046,1813,0.8411126136779785
1745687481.9778244,1814,0.9422316551208496
1745687488.0557704,1817,0.9018967747688293
1745687502.1308281,1824,0.8154792785644531
1745687506.2027633,1826,0.8418089747428894
1745687515.202187,1830,0.863613486289978
1745687536.0909193,1840,0.7822988629341125
1745687538.1345708,1841,0.8256717920303345
1745687544.217149,1844,0.8849679231643677
1745687554.411447,1849,0.8545467853546143
1745687562.74328,1853,0.8855558633804321
1745687590.5985415,1866,0.7955981492996216
1745687594.6698337,1868,0.8804187774658203
1745687596.728679,1869,0.8262853622436523
1745687608.9434793,1875,0.8115728497505188
1745687611.175663,1876,0.7313128709793091
1745687613.2161386,1877,0.7999466061592102
1745687617.3344939,1879,0.7561212778091431
1745687621.429625,1881,0.8456956148147583
1745687648.0629327,1893,0.8023725152015686
1745687666.5721297,1902,0.8411068320274353
1745687674.797517,1906,0.8238418102264404
1745687685.2368798,1911,0.7992232441902161
1745687687.2933097,1912,0.8464280962944031
1745687698.785318,1917,0.792640209197998
1745687712.1785486,1923,0.7572771906852722
1745687714.253323,1924,0.7373296022415161
1745687727.0687404,1930,0.7713412642478943
1745687735.6731594,1934,0.7792518734931946
1745687740.4549325,1936,0.8577653169631958
1745687744.6432426,1938,0.8294212222099304
1745687757.5480566,1944,0.8354760408401489
1745687763.764345,1947,0.8113208413124084
1745687767.9782352,1949,0.8572344183921814
1745687775.594657,1952,0.8232672214508057
1745687781.7685294,1955,0.8734273314476013
1745687787.9178185,1958,0.8403920531272888
1745687792.0189087,1960,0.895172119140625
1745687806.8946576,1967,0.896225094795227
1745687811.0188882,1969,0.8708797693252563
1745687836.0207698,1981,0.7569849491119385
1745687838.0796442,1982,0.9094135761260986
1745687840.1360154,1983,0.7774232625961304
1745687868.9677165,1997,0.7750371098518372
1745687877.2115734,2001,0.8222119212150574
1745687885.4919357,2005,0.7551493644714355
1745687887.5487382,2006,0.9072679877281189
1745687894.5058813,2009,0.7308399677276611
1745687897.2732835,2010,0.8027053475379944
1745687904.3854442,2013,0.835974931716919
1745687908.7091753,2015,0.8328801393508911
